Player,Team,POS,ESPN,MFL,FFC,RTSports,NFL,Fantrax,AVG
Saquon Barkley,NYG,RB1,1,1,1,1,1,1,1
Christian McCaffrey,CAR,RB2,2,3,2,2,4,2,2.2
Alvin Kamara,NO,RB3,3,2,3,3,2,3,2.8
Ezekiel Elliott,DAL,RB4,4,4,4,4,3,4,4
DeAndre Hopkins,HOU,WR1,5,5,5,5,5,6,5
David Johnson,ARI,RB5,6,7,7,7,8,5,7
Davante Adams,GB,WR2,10,6,6,9,7,7,7
Le’Veon Bell,NYJ,RB6,8,8,8,6,6,8,7.6
James Conner,PIT,RB7,16,9,11,8,15,9,10.4
Julio Jones,ATL,WR3,11,11,9,11,9,11,10.6
Michael Thomas,NO,WR4,7,10,10,13,11,10,10.8
Odell Beckham Jr.,CLE,WR5,13,12,13,12,12,12,12.2
Todd Gurley,LAR,RB8,9,13,17,16,10,14,14
Travis Kelce,KC,TE1,15,17,18,14,13,13,14.4
JuJu Smith-Schuster,PIT,WR6,14,15,14,15,18,15,14.6
Tyreek Hill,KC,WR7,12,14,15,19,20,17,17
Joe Mixon,CIN,RB9,17,20,19,17,17,16,17.2
Nick Chubb,CLE,RB10,21,16,12,10,22,19,18
Dalvin Cook,MIN,RB11,20,18,16,18,23,18,18
Antonio Brown,OAK,WR8,19,22,21,21,19,20,20
Patrick Mahomes,KC,QB1,18,19,22,24,14,21,20.8
Mike Evans,TB,WR9,22,21,20,20,21,22,21.2
Adam Thielen,MIN,WR10,30,25,24,23,24,25,24.2
Keenan Allen,LAC,WR11,23,27,25,30,25,23,24.6
Damien Williams,KC,RB12,40,23,23,22,31,27,25.2
Leonard Fournette,JAC,RB13,24,24,26,27,27,29,25.6
Zach Ertz,PHI,TE2,28,26,36,29,26,24,26.6
Kerryon Johnson,DET,RB14,29,29,27,26,35,30,28.2
George Kittle,SF,TE3,27,32,29,31,30,26,29.8
Devonta Freeman,ATL,RB15,26,34,28,25,34,32,30.8
Aaron Jones,GB,RB16,39,30,30,32,37,31,32
Josh Jacobs,OAK,RB17,33,33,33,28,43,35,32.4
Amari Cooper,DAL,WR12,25,31,35,37,29,33,33
Stefon Diggs,MIN,WR13,36,28,32,34,32,34,33.6
T.Y. Hilton,IND,WR14,41,38,49,36,28,28,34.2
Melvin Gordon,LAC,RB18,32,35,42,33,16,38,36
Derrick Henry,TEN,RB19,34,40,45,38,38,37,37.4
Julian Edelman,NE,WR15,31,41,37,40,33,39,38
Marlon Mack,IND,RB20,49,37,46,35,36,36,38
Brandin Cooks,LAR,WR16,35,36,38,46,41,40,38
Chris Carson,SEA,RB21,37,42,31,39,51,44,38.6
Robert Woods,LAR,WR17,42,44,43,50,39,41,41.8
Kenny Golladay,DET,WR18,45,50,48,41,40,43,43.4
Deshaun Watson,HOU,QB2,38,39,51,57,44,49,44.2
David Montgomery,CHI,RB22,59,43,34,43,69,50,45.8
Mark Ingram,BAL,RB23,44,45,39,45,49,47,46
Sony Michel,NE,RB24,55,47,40,42,48,66,46.4
Tyler Lockett,SEA,WR19,50,46,44,52,47,48,47
Cooper Kupp,LAR,WR20,46,53,47,49,59,45,48
Chris Godwin,TB,WR21,54,48,41,44,53,46,49
James White,NE,RB25,52,54,50,48,65,52,51.2
Phillip Lindsay,DEN,RB26,65,51,53,47,50,58,51.8
Aaron Rodgers,GB,QB3,43,49,62,60,42,57,54.2
Tyler Boyd,CIN,WR22,62,55,52,51,66,51,54.2
Calvin Ridley,ATL,WR23,61,52,54,56,73,55,55.6
O.J. Howard,TB,TE4,57,58,55,59,56,62,57
Evan Engram,NYG,TE5,48,63,58,61,46,61,58.2
Mike Williams,LAC,WR24,56,56,63,62,75,59,59.2
A.J. Green,CIN,WR25,64,68,57,58,54,42,60.2
D.J. Moore,CAR,WR26,60,61,68,63,83,53,61
Tarik Cohen,CHI,RB27,71,60,71,54,77,56,62.4
Alshon Jeffery,PHI,WR27,51,62,74,67,87,60,62.8
Baker Mayfield,CLE,QB4,53,57,67,72,45,67,63.2
Tevin Coleman,SF,RB28,80,65,56,53,94,64,63.6
Jarvis Landry,CLE,WR28,69,59,61,66,68,54,64.6
Hunter Henry,LAC,TE6,63,67,66,68,52,65,65.8
Allen Robinson,CHI,WR29,70,69,78,65,88,63,69
Austin Ekeler,LAC,RB29,82,71,65,64,109,72,70.8
Josh Gordon,NE,WR30,72,76,64,77,132,68,71.4
Robby Anderson,NYJ,WR31,79,70,70,69,96,69,71.4
Matt Ryan,ATL,QB5,47,64,72,79,60,87,72.4
Jared Cook,NO,TE7,58,75,75,76,61,76,72.6
Kenyan Drake,MIA,RB30,67,82,82,70,74,71,72.8
Derrius Guice,WAS,RB31,76,66,73,73,103,93,76.2
Miles Sanders,PHI,RB32,85,73,59,55,90,77,76.8
Will Fuller,HOU,WR32,88,80,80,71,104,73,78.4
Duke Johnson,HOU,RB33,78,84,60,81,144,91,78.8
Carson Wentz,PHI,QB6,73,74,77,84,95,90,79.6
Sammy Watkins,KC,WR33,74,91,99,87,81,70,80.6
Vance McDonald,PIT,TE8,83,85,79,90,76,96,82.6
Dede Westbrook,JAC,WR34,81,93,69,92,129,82,83.4
Eric Ebron,IND,TE9,124,89,109,83,63,78,84.4
Sterling Shepard,NYG,WR35,77,81,92,91,105,83,84.8
Christian Kirk,ARI,WR36,95,97,85,80,107,74,86.2
Drew Brees,NO,QB7,66,83,81,107,55,95,86.4
Corey Davis,TEN,WR37,107,72,112,74,115,75,88
Latavius Murray,NO,RB34,108,96,76,75,110,88,88.6
David Njoku,CLE,TE10,86,101,88,85,89,107,89.8
Chicago Bears,DST,DST1,68,99,96,105,57,85,90.6
Jordan Howard,PHI,RB35,114,79,104,78,120,80,91
Rashaad Penny,SEA,RB36,103,88,89,82,99,117,92.2
Russell Wilson,SEA,QB8,93,77,97,98,58,97,92.4
Emmanuel Sanders,DEN,WR38,87,87,83,102,147,103,92.4
Larry Fitzgerald,ARI,WR39,99,86,101,99,117,79,92.8
Cam Newton,CAR,QB9,75,90,98,104,67,101,93.6
Jared Goff,LAR,QB10,98,98,86,100,79,92,94.8
Curtis Samuel,CAR,WR40,109,102,87,86,121,94,95.6
Darrell Henderson,LAR,RB37,127,109,90,97,98,86,96
Marvin Jones,DET,WR41,90,92,106,103,101,84,98.4
Courtland Sutton,DEN,WR42,120,94,126,88,143,81,101.8
Dante Pettis,SF,WR43,123,100,110,106,106,89,102.2
Royce Freeman,DEN,RB38,100,112,107,93,119,100,102.4
LeSean McCoy,BUF,RB39,116,105,100,94,114,99,102.4
Kareem Hunt,CLE,RB40,140,104,93,117,122,98,106.8
Matt Breida,SF,RB41,119,120,91,95,166,128,110.6
Austin Hooper,ATL,TE11,102,107,114,121,111,145,111
Geronimo Allison,GB,WR44,141,106,94,115,141,104,112
Marquez Valdes-Scantling,GB,WR45,142,116,102,101,134,109,112.4
Kyler Murray,ARI,QB11,104,113,113,116,118,105,113
Ben Roethlisberger,PIT,QB12,97,108,121,112,112,122,115
Delanie Walker,TEN,TE12,101,111,125,111,140,134,116.4
Peyton Barber,TB,RB42,110,118,134,119,125,112,116.8
Los Angeles Rams,DST,DST2,92,132,115,140,64,106,117
James Washington,PIT,WR46,131,131,108,125,161,102,119.4
Jameis Winston,TB,QB13,154,103,111,114,170,115,119.4
Kalen Ballage,MIA,RB43,170,125,103,89,175,127,122.8
Jaylen Samuels,PIT,RB44,176,114,117,113,149,121,122.8
Tom Brady,NE,QB14,91,110,124,139,100,143,123.2
Lamar Jackson,BAL,QB15,122,115,105,124,127,132,124
Greg Zuerlein,LAR,K1,84,124,150,155,72,114,125.4
DeSean Jackson,PHI,WR47,128,127,118,129,137,113,127.8
Darwin Thompson,KC,RB45,137,121,84,120,218,181,128.6
Donte Moncrief,PIT,WR48,129,119,120,135,177,141,128.8
Michael Gallup,DAL,WR49,121,136,127,128,180,133,129
Philip Rivers,LAC,QB16,139,129,119,133,113,129,129.8
Adrian Peterson,WAS,RB46,178,122,128,126,152,124,130.4
Jacksonville Jaguars,DST,DST3,94,141,122,145,78,153,131
Justin Tucker,BAL,K2,96,134,155,153,80,126,132.8
Dion Lewis,TEN,RB47,160,139,149,108,194,108,132.8
